Feature,Importance
secondary_peak_3_intensity,0.0017294641485872874
position_ratio_1,0.0016964473068211841
peak_area_3,0.001662821214366989
secondary_peak_1_intensity secondary_peak_2_intensity,0.0016442286768664834
max_intensity intensity_ratio_1,0.0016410846187192548
main_peak_fwhm position_ratio_1,0.0016263581457912255
position_ratio_1 peak_area_2,0.0016105642785058875
main_peak_position secondary_peak_3_position,0.001585408800690698
median_intensity intensity_ratio_1,0.0015539956812334094
intensity_ratio_1 peak_area_3,0.0015479415489528994
integral,0.0015277358554621897
secondary_peak_2_intensity secondary_peak_3_intensity,0.0015107075899757558
max_intensity peak_area_1,0.001510280851170978
kurtosis secondary_peak_2_position,0.0014862687330896144
secondary_peak_3_position secondary_peak_3_intensity,0.0014676594041556118
secondary_peak_2_intensity,0.0014660994148867098
kurtosis peak_area_2,0.001421969868068773
main_peak_intensity peak_area_2,0.0014141486618212554
main_peak_position main_peak_fwhm,0.0013787469399755704
secondary_peak_3_position secondary_peak_3_fwhm,0.0013538698947620864
secondary_peak_1_position intensity_ratio_1,0.0013291354207895748
mean_intensity secondary_peak_1_position,0.0013034589080377652
main_peak_fwhm secondary_peak_3_fwhm,0.001277777275316308
median_intensity peak_area_3,0.0012420954470816579
main_peak_position secondary_peak_2_intensity,0.0012372833281212266
median_intensity std_intensity,0.0012323559694257015
std_intensity secondary_peak_1_position,0.0012029250388725743
mean_intensity peak_area_3,0.001191603397989901
secondary_peak_3_fwhm intensity_ratio_2,0.0011877806675361965
max_intensity main_peak_fwhm,0.0011655643429002117
secondary_peak_1_position secondary_peak_1_fwhm,0.0011625983305064316
position_ratio_2 intensity_ratio_1,0.0011534437312110566
secondary_peak_3_intensity,0.0011003893918084624
secondary_peak_1_position secondary_peak_2_intensity,0.001098896926935196
skewness secondary_peak_1_position,0.0010816110641077052
std_intensity peak_area_3,0.0010779220917811383
kurtosis secondary_peak_3_fwhm,0.0010579909298279867
kurtosis,0.0010259570299830266
median_intensity position_ratio_2,0.001017862580001869
min_intensity peak_symmetry,0.0010012243599684249
intensity_ratio_1 peak_area_2,0.0009966105512262636
secondary_peak_1_intensity,0.0009851416876828704
skewness secondary_peak_3_intensity,0.0009723643138127298
peak_symmetry secondary_peak_2_fwhm,0.0009516455336337665
main_peak_fwhm secondary_peak_1_position,0.0009507815294967935
main_peak_position,0.0009434984787669422
mean_intensity secondary_peak_3_position,0.0009201910470064214
median_intensity main_peak_position,0.0008793903077118413
secondary_peak_2_fwhm,0.0008649256337532403
main_peak_fwhm position_ratio_2,0.0008503886208064753
secondary_peak_1_fwhm secondary_peak_3_fwhm,0.0008277699477969993
kurtosis secondary_peak_1_position,0.0008045967282692118
mean_intensity median_intensity,0.0007814222531137851
median_intensity secondary_peak_2_position,0.0007662406865314392
median_intensity main_peak_fwhm,0.0007028817412921746
main_peak_fwhm secondary_peak_2_intensity,0.0006788555160601956
secondary_peak_3_position position_ratio_2,0.0006563824336888204
min_intensity secondary_peak_2_position,0.0006325586784195356
secondary_peak_2_intensity peak_area_2,0.0006253499816561627
peak_symmetry secondary_peak_2_position,0.0006174953752366394
mean_intensity main_peak_position,0.0006101442568408124
skewness peak_area_1,0.0005738115305852133
intensity_ratio_1,0.0005545058019005944
secondary_peak_2_position peak_area_3,0.0005486405948695676
median_intensity secondary_peak_1_position,0.0005457145538412332
main_peak_position secondary_peak_3_intensity,0.0005433559403689785
max_intensity secondary_peak_1_fwhm,0.0004852268641184053
mean_intensity main_peak_fwhm,0.0004763503047197027
position_ratio_1,0.00046554770375265166
secondary_peak_3_intensity secondary_peak_3_fwhm,0.00045926434169228837
secondary_peak_1_fwhm secondary_peak_2_intensity,0.000415875966598916
secondary_peak_2_intensity intensity_ratio_1,0.00040479772158095556
secondary_peak_1_position peak_area_2,0.00039112041140424147
secondary_peak_2_intensity secondary_peak_3_position,0.00038925832937083716
min_intensity secondary_peak_3_fwhm,0.00036834315893582623
median_intensity secondary_peak_3_position,0.0003197467750995415
peak_symmetry peak_area_2,0.00030149121115198856
secondary_peak_3_intensity intensity_ratio_2,0.0002867943384271443
std_intensity secondary_peak_1_fwhm,0.00022428480975253347
min_intensity main_peak_fwhm,0.00018088083695996484
median_intensity skewness,0.00016891819676560592
integral position_ratio_1,0.0001586517924872923
main_peak_position secondary_peak_1_fwhm,0.00015656906870986184
integral secondary_peak_3_position,9.305205307486848e-05
mean_intensity intensity_ratio_2,7.429414130025216e-05
mean_intensity position_ratio_2,7.093609889266905e-05
skewness main_peak_intensity,5.034707965837898e-05
integral peak_area_2,2.9542612314469957e-05
secondary_peak_3_intensity peak_area_2,2.4310106102243757e-05
median_intensity,0.0
